iteration,logloss,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
62,0.15644931780806054,2022-04-15 15:45:23.312979,2022-04-15 15:48:19.309063,0 days 00:02:55.996084,0.9472225783451087,0.623908318717966,0.48473074448990466,0.08075474982160288,8.0,1.0,310.0,0.00010202896695727676,2.4266283031476447e-06,0.9743926732355976,COMPLETE
67,0.15650065460894672,2022-04-15 16:00:00.082680,2022-04-15 16:02:55.613659,0 days 00:02:55.530979,0.9823522796098685,0.5759592387719116,0.022078400514959053,0.08049224545757748,8.0,1.0,300.0,1.2888738959191276e-05,6.501422870586624e-06,0.9625805469095134,COMPLETE
83,0.1565173653495227,2022-04-15 16:56:52.788489,2022-04-15 16:59:46.978805,0 days 00:02:54.190316,0.4315357091375692,0.5128071079003708,0.16317155402577366,0.07590749119867862,8.0,1.0,360.0,2.6778765908722383e-05,0.00021891518945408805,0.9212457777696761,COMPLETE
45,0.15655172373589635,2022-04-15 14:55:31.690915,2022-04-15 14:58:30.589861,0 days 00:02:58.898946,0.9325276896001565,0.8517225203358254,0.005286423253226948,0.09990388607255252,10.0,3.0,270.0,0.3624930097453111,3.804180794469567e-07,0.9696222132624749,COMPLETE
88,0.1565828751844792,2022-04-15 17:11:37.866257,2022-04-15 17:14:34.549166,0 days 00:02:56.682909,0.9239691223551734,0.6778031322611001,0.2053048853778453,0.06581008876100926,8.0,2.0,320.0,0.00016561495649932025,0.0015363721288387535,0.9115964918448336,COMPLETE
98,0.15661273624186248,2022-04-15 17:41:17.297688,2022-04-15 17:44:21.685855,0 days 00:03:04.388167,0.7436142148938517,0.7103594799701509,1.927919182366159e-07,0.031159196907323744,9.0,4.0,450.0,1.236113720073454e-05,1.354519618624829e-07,0.8324526305926757,COMPLETE
87,0.15665800845117528,2022-04-15 17:08:36.995496,2022-04-15 17:11:37.866101,0 days 00:03:00.870605,0.9977964234401608,0.4314694966807201,0.03317497846042316,0.09981438832545417,7.0,2.0,370.0,2.4982278267509667e-06,9.9809453441228e-05,0.9471315506544474,COMPLETE
48,0.15670245711604192,2022-04-15 15:04:33.179735,2022-04-15 15:07:28.235026,0 days 00:02:55.055291,0.9291510105762036,0.5127118821276399,0.6567774188929765,0.08987986932750243,8.0,1.0,280.0,0.0001059254887456689,6.471445115460024e-07,0.9999370653823634,COMPLETE
47,0.15675094448712523,2022-04-15 15:01:31.551568,2022-04-15 15:04:33.179623,0 days 00:03:01.628055,0.9152248816657469,0.49405242926417114,0.33478215417334345,0.09654252704773726,10.0,2.0,270.0,0.006868400846565005,3.819985114395461e-07,0.9999377569565102,COMPLETE
85,0.15676348398419465,2022-04-15 17:02:41.347701,2022-04-15 17:05:35.910452,0 days 00:02:54.562751,0.9354787825674993,0.5398697451235382,0.526665641890547,0.046127858116955946,8.0,1.0,420.0,8.918830492288165e-06,0.0007400079526607427,0.8868437178882821,COMPLETE
